pmcid,pmid,doi,year,journal,title,is_rct,pub_types,n_code,n_data,code_urls,data_urls,on_request_only,das
PMC12283555,40669298,10.1016/j.ebiom.2025.105849,2025,EBioMedicine,Moderate-intensity exercise training uniquely modulates circulating lipid species beyond classical lipid levels in humans,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,
PMC11891067,40066314,10.3389/fneur.2025.1512409,2025,Frontiers in neurology,Cueing-assisted gamified augmented-reality gait-and-balance rehabilitation at home for people with Parkinson's disease: protocol of a pragmatic randomized controlled trial implemented in the clinical ,True,methods-article Journal Article,0,0,,,False,
PMC12727979,41451095,10.3389/fmed.2025.1697235,2025,Frontiers in medicine,"Clinical efficacy study on the efficacy and safety of acupuncture for post-stroke dysphagia based on the regulation of the swallowing neural circuit: protocol for a multicenter, open-label, randomized",True,methods-article Journal Article,0,0,,,False,
PMC11922767,39900648,10.1038/s43587-024-00793-y,2025,Nature aging,"Individual and additive effects of vitamin D, omega-3 and exercise on DNA methylation clocks of biological aging in older adults from the DO-HEALTH trial",True,research-article Randomized Controlled Trial Journal Article,0,0,,,True,"Data Availability Statement Data from DO-HEALTH, used in the context of this project, as well as codebooks and analytic codes, will initially be reserved for the primary researchers of the Center of Aging and Mobility Research Group to fully exploit the datasets. Subsequently, the data will be made available to external researchers according to a controlled access system. However, all data supporting the findings of this study are available from the corresponding author upon request. Previously published code was used in this study 6 , 29 , and no new code was generated. Data from DO-HEALTH, used in the context of this project, as well as codebooks and analytic codes, will initially be reserved for the primary researchers of the Center of Aging and Mobility Research Group to fully exploit the datasets. Subsequently, the data will be made available to external researchers according to a controlled access system. However, all data supporting the findings of this study are available from "
PMC11361610,39208136,10.1371/journal.pone.0309217,2024,PloS one,"Sensorimotor functioning changes in response to global exercise versus handwriting upper limb exercise training in Parkinson's disease, results from a phase II randomised controlled trial",True,"Clinical Trial, Phase II research-article Randomized Controlled Trial ",0,0,,,False,"All data from this research are publicly available. Moraes IAP, Collett J, Silva T, Monteiro CBM, Dawes H. Upper limbs fitts' task - global exercise versus focused handwriting exercise training in Parkinson’s disease, Mendeley Data, V2, 2024. doi: 10.17632/hmzt5c3tc7.2 . All data from this research are publicly available. Moraes IAP, Collett J, Silva T, Monteiro CBM, Dawes H. Upper limbs fitts' task - global exercise versus focused handwriting exercise training in Parkinson’s disease, Mendeley Data, V2, 2024. doi: 10.17632/hmzt5c3tc7.2 ."
PMC11406116,39290846,10.12688/f1000research.147142.1,2024,F1000Research,Effectiveness of vestibular rehabilitation therapy and yoga in the management of chronic peripheral vertigo: A randomized controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,Data Availability Statement Underlying data Harvard Dataverse: Replication Data for: Datasheet. https://doi.org/10.7910/DVN/RUCLSQ . 22
PMC11116924,38638032,10.2337/dc24-0241,2024,Diabetes care,Effect of 5:2 Regimens: Energy-Restricted Diet or Low-Volume High-Intensity Interval Training Combined With Resistance Exercise on Glycemic Control and Cardiometabolic Health in Adults With Overweight,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,
PMC10982631,38253436,10.1136/bjsports-2023-107563,2024,British journal of sports medicine,One-year effectiveness of high-load compared with low-load strengthening exercise on self-reported function in patients with hypermobile shoulders: a secondary analysis from a randomised controlled tr,True,Equivalence Trial research-article Randomized Controlled Trial Journal,0,0,,,True,Data Availability Statement Data are available on reasonable request. Data are available on reasonable request. Data are available on reasonable request.
PMC11184365,38888088,10.14814/phy2.16100,2024,Physiological reports,Effect of resistance training and chicken meat on muscle strength and mass and the gut microbiome of older women: A randomized controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,0,,,True,DATA AVAILABILITY STATEMENT The datasets generated in this study are available from the corresponding author upon request. The datasets generated in this study are available from the corresponding author upon request.
PMC10823991,38288463,10.7717/peerj.16799,2024,PeerJ,"Effect of dynamic taping on neck pain, disability, and quality of life in patients with chronic non-specific neck pain: a randomized sham-control trial",True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,"Data Availability Statement The following information was supplied regarding data availability: The data is available in the Supplemental File . The code book for the dataset is available at figshare: Sidiq, Mohammad (2023). Code Book Dynamic Tape. figshare. Dataset. https://doi.org/10.6084/m9.figshare.24164967.v1 . The following information was supplied regarding data availability: The data is available in the Supplemental File . The code book for the dataset is available at figshare: Sidiq, Mohammad (2023). Code Book Dynamic Tape. figshare. Dataset. https://doi.org/10.6084/m9.figshare.24164967.v1 . The following information was supplied regarding data availability: The data is available in the Supplemental File . The code book for the dataset is available at figshare: Sidiq, Mohammad (2023). Code Book Dynamic Tape. figshare. Dataset. https://doi.org/10.6084/m9.figshare.24164967.v1 ."
PMC10910646,38423582,10.1136/bmjment-2023-300885,2024,BMJ mental health,Work Engagement and Well-being Study (SWELL): a randomised controlled feasibility trial evaluating the effects of mindfulness versus light physical exercise at work,True,research-article Randomized Controlled Trial Pragmatic Clinical Trial ,0,0,,,False,Data Availability Statement No data are available. No data are available. No data are available.
PMC10949634,38500191,10.1186/s13063-024-07998-x,2024,Trials,The IMPROVE trial: study protocol for a pragmatic cluster randomised controlled trial to assess the effectiveness of using lay health workers to improve uptake and completion of pulmonary rehabilitati,True,Clinical Trial Protocol research-article Journal Article,0,0,,,False,"Availability of data and materials Data will be available after the end of the trial. King’s College London operates a research data repository, King’s Open Research Data System (KORDS), based on the Figshare® data repository system."
PMC11414122,39304954,10.1186/s13063-024-08462-6,2024,Trials,Chronic stress and functional health in older adults with concerns about falling: a study protocol of a randomized controlled trial with multicomponent exercise intervention (FEARFALL),True,Clinical Trial Protocol research-article Journal Article,0,0,,,False,"Data Availability Statement The final data set is available for the principal investigators. After study completion, data access can be granted upon request. It is planned to make the database accessible in a public repository (e.g., DRYAD https://datadryad.org/ ). The final data set is available for the principal investigators. After study completion, data access can be granted upon request. It is planned to make the database accessible in a public repository (e.g., DRYAD https://datadryad.org/ ). The final data set is available for the principal investigators. After study completion, data access can be granted upon request. It is planned to make the database accessible in a public repository (e.g., DRYAD https://datadryad.org/ )."
PMC11365477,39221286,10.7717/peerj.17839,2024,PeerJ,Comparative analysis of biomechanical characteristics between the new Tai Chi elastic band exercise for opening and closing movement and elastic band resistance training for the reverse fly movement,True,Comparative Study research-article Randomized Controlled Trial Journal,0,0,,,False,Data Availability Statement The following information was supplied regarding data availability: The data is available at Figshare: Liu Mingyu. Raw data of the new Tai Chi elastic band exercise and elastic band resistance training. figshare. Dataset. https://doi.org/10.6084/m9.figshare.25182362 . The following information was supplied regarding data availability: The data is available at Figshare: Liu Mingyu. Raw data of the new Tai Chi elastic band exercise and elastic band resistance training. figshare. Dataset. https://doi.org/10.6084/m9.figshare.25182362 . The following information was supplied regarding data availability: The data is available at Figshare: Liu Mingyu. Raw data of the new Tai Chi elastic band exercise and elastic band resistance training. figshare. Dataset. https://doi.org/10.6084/m9.figshare.25182362 .
PMC11615107,38558387,10.1007/s13760-024-02517-w,2024,Acta neurologica Belgica,Effect of Pilates exercises on balance and gross motor coordination in children with Down syndrome,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,
PMC11388008,39182253,10.1016/j.jaim.2024.101030,2024,Journal of Ayurveda and integrative medicine,Effects of yoga and add on Ayurvedic Kati Basti therapy for patients with chronic low back pain: A randomized controlled trial,True,research-article Journal Article,0,0,,,False,Data Availability Statement Data can be obtained from the author on request. Data can be obtained from the author on request. Data can be obtained from the author on request.
PMC10916129,38448804,10.1186/s12877-024-04833-5,2024,BMC geriatrics,Cost-effectiveness of prehabilitation of elderly frail or pre-frail patients prior to elective surgery (PRAEP-GO) versus usual care - Protocol for a health economic evaluation alongside a randomized c,True,"Clinical Trial Protocol Research Support, Non-U.S. Gov't research-arti",0,0,,,False,Availability of data and materials Not applicable.
PMC11220381,38946697,10.3344/kjp.24098,2024,The Korean journal of pain,"Is conventional radiofrequency ablation of the superolateral branch, one of the three genicular nerves targeted as standard, necessary or not? A non-inferiority randomized controlled trial",True,research-article Journal Article,0,0,,,False,
PMC11641579,39685030,10.3390/healthcare12232408,2024,"Healthcare (Basel, Switzerland)","Short-Term Effects of Conventional Chest Physiotherapy and Expiratory Flow Increase Technique on Respiratory Parameters, Heart Rate, and Pain in Mechanically Ventilated Premature Neonates: A Randomize",True,research-article Journal Article,0,0,,,False,Data Availability Statement The original data presented in the study are openly available in Mendeley Data [ 51 ]. The original data presented in the study are openly available in Mendeley Data [ 51 ]. The original data presented in the study are openly available in Mendeley Data [ 51 ].
PMC11077891,38715134,10.1186/s13102-024-00894-6,2024,"BMC sports science, medicine & rehabilitation",The effects of kettlebell training versus resistance training using the own body mass on physical fitness and physiological adaptations in obese adults: a randomized controlled trial,True,research-article Journal Article,0,0,,,True,Data Availability Statement The datasets generated during and analyzed during the current study are not publicly available due to confidential information about the participants but are available from the corresponding author on reasonable request. The datasets generated during and analyzed during the current study are not publicly available due to confidential information about the participants but are available from the corresponding author on reasonable request. The datasets generated during and analyzed during the current study are not publicly available due to confidential information about the participants but are available from the corresponding author on reasonable request.
PMC11091470,38745911,10.2147/prbm.s455305,2024,Psychology research and behavior management,Exploring Temporal and Intensity Effects of Resistance Exercise on Inhibition: A Four-Arm Crossover Randomized Controlled Trial,True,research-article Journal Article,0,0,,,False,
PMC10870815,38355154,10.1136/bmj-2023-075847,2024,BMJ (Clinical research ed.),Effect of exercise for depression: systematic review and network meta-analysis of randomised controlled trials,True,research-article Systematic Review Network Meta-Analysis Journal Artic,0,0,,,False,
PMC11295579,39095724,10.1186/s12889-024-19306-y,2024,BMC public health,"Short, frequent physical activity breaks improve working memory while preserving cerebral blood flow in adolescents during prolonged sitting - AbbaH teen, a randomized crossover trial",True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,True,"Data availability The datasets are not available for download as the ethical approval does not permit this, however, the disidentified data are available on reasonable request to the first author. The data are held at the Swedish School of Sport and Health Sciences, Sweden."
PMC11409911,39296351,10.12688/f1000research.140342.4,2023,F1000Research,"Effects of a low, medium, and high-intensity aquatic physiotherapy protocol on functional and biochemical parameters in individuals with knee osteoarthritis: protocol for a crossover randomized contro",True,Clinical Trial Protocol other Journal Article,0,0,,,False,Data Availability Statement Underlying data No data are associated with this article.
PMC10703251,38060549,10.1371/journal.pone.0295115,2023,PloS one,Chiropractic spinal manipulative therapy for acute neck pain: A 4-arm clinical placebo randomized controlled trial. A prospective study protocol,True,"Clinical Trial Protocol Research Support, Non-U.S. Gov't research-arti",0,0,,,False,Data Availability Statement No datasets were generated or analysed during the current study. All relevant data from this study will be made available upon study completion. No datasets were generated or analysed during the current study. All relevant data from this study will be made available upon study completion. No datasets were generated or analysed during the current study. All relevant data from this study will be made available upon study completion.
PMC9860430,36657217,10.1016/j.bjpt.2022.100469,2023,Brazilian journal of physical therapy,No evidence for stratified exercise therapy being cost-effective compared to usual exercise therapy in patients with knee osteoarthritis: Economic evaluation alongside cluster randomized controlled tr,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,
PMC11445601,39359613,10.12688/f1000research.141455.2,2023,F1000Research,The effect of manual therapy on diaphragm function in adults with asthma: Protocol for a randomized controlled trial,True,Clinical Trial Protocol other Journal Article,0,0,,,False,Data availability Underlying data No data are associated with this article.
PMC10289768,37352050,10.1097/md.0000000000034127,2023,Medicine,"Effect of abdominal binder on shoulder pain after laparoscopic gynecologic surgery: A randomized, controlled trial",True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,
PMC10551960,37793919,10.1136/bmjopen-2023-073163,2023,BMJ open,Effects of tele-prehabilitation on clinical and muscular recovery in patients awaiting knee replacement: protocol of a randomised controlled trial,True,"Clinical Trial Protocol Research Support, Non-U.S. Gov't research-arti",0,0,,,False,
PMC10042356,36972231,10.1371/journal.pone.0273877,2023,PloS one,Effects of diacutaneous fibrolysis in patients with tension-type headache: A randomized controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,Data are available on the Harvard Dataverse ( https://doi.org/10.7910/DVN/MFXI ). Data are available on the Harvard Dataverse ( https://doi.org/10.7910/DVN/MFXI ).
PMC10449141,37616239,10.1371/journal.pone.0281968,2023,PloS one,"Effects of joint mobilization combined with acupuncture on pain, physical function, and depression in stroke patients with chronic neuropathic pain: A randomized controlled trial",True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,Data Availability Statement All data files are available from the public repository Figshare database ( https://doi.org/10.6084/m9.figshare.21789092 ). All data files are available from the public repository Figshare database ( https://doi.org/10.6084/m9.figshare.21789092 ). All data files are available from the public repository Figshare database ( https://doi.org/10.6084/m9.figshare.21789092 ).
PMC9806455,36129364,10.1177/17474930221129982,2023,International journal of stroke : official journal of t,Implementation of increased physical therapy intensity for improving walking after stroke: Walk 'n watch protocol for a multisite stepped-wedge cluster-randomized controlled trial,True,"Clinical Trial Protocol Research Support, Non-U.S. Gov't research-arti",0,0,,,False,
PMC9914391,36767051,10.3390/ijerph20031677,2023,International journal of environmental research and pub,Repeated Massage Improves Swimmers' Perceptions during Training Sessions but Not Sprint and Functional Performance: A Randomized Controlled Trial,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,"Data Availability Statement The data that support the findings of this study are openly available in Mendeley Data at http://doi.org/10.17632/d88r6svvds.3 , reference number [ 32 ]. The data that support the findings of this study are openly available in Mendeley Data at http://doi.org/10.17632/d88r6svvds.3 , reference number [ 32 ]. The data that support the findings of this study are openly available in Mendeley Data at http://doi.org/10.17632/d88r6svvds.3 , reference number [ 32 ]."
PMC11319903,39139274,10.3310/nihropenres.13507.2,2023,NIHR open research,Mobility and strength training with and without protein supplements for pre-frail or frail older adults with low protein intake: the Maximising Mobility and Strength Training (MMoST) feasibility rando,True,other Journal Article,0,0,,,False,Data Availability Statement Underlying data No data are associated with this article.
PMC10612516,37901478,10.2147/cia.s413961,2023,Clinical interventions in aging,A Physiotherapy-Led Transition to Home Intervention for Older Adults Following Emergency Department Discharge: A Pilot Feasibility Randomised Controlled Trial (ED PLUS),True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,
PMC12880457,37960912,10.1007/s12603-023-1982-1,2023,"The journal of nutrition, health & aging",Resistance Exercise Program in Cognitively Normal Older Adults: CERT-Based Exercise Protocol of the AGUEDA Randomized Controlled Trial,True,"Clinical Trial Protocol Research Support, Non-U.S. Gov't research-arti",0,0,,,False,
PMC9903016,36762033,10.1177/26335565231154447,2023,Journal of multimorbidity and comorbidity,Study protocol for a multicenter randomized controlled trial of personalized exercise therapy and self-management support for people with multimorbidity: The MOBILIZE study,True,research-article Journal Article,0,0,,,False,
PMC10324133,37407950,10.1186/s12885-023-11137-1,2023,BMC cancer,Promoting physical activity through supervised vs motivational behavior change interventions in breast cancer survivors on aromatase inhibitors (PAC-WOMAN): protocol for a 3-arm pragmatic randomized c,True,Clinical Trial Protocol research-article Journal Article,0,0,,,True,Availability of data and materials Anonymized trial data will be available from the corresponding author upon reasonable request for non-commercial research purposes.
PMC11234080,38988644,10.12688/f1000research.130932.2,2023,F1000Research,Effects of Ashwagandha ( &lt;i&gt;Withania somnifera&lt;/i&gt;) standardized root extract on physical endurance and VO &lt;sub&gt;2max&lt;/sub&gt; in healthy adults performing resistance training: An ,True,research-article Multicenter Study Randomized Controlled Trial Journal,0,0,,,False,"Data Availability Statement Underlying data Figshare: Ashwagandha_Muscle study, https://doi.org/10.6084/m9.figshare.22081895.v4 . 34 The project contains the following underlying data: - Ashwagandha_Muscle study_Raw data.csv - Ashwagandha_Muscle study_Raw data.xlsx - Filled consort checklist - Study protocol"
PMC10239947,37284481,10.3389/fnhum.2023.1168549,2023,Frontiers in human neuroscience,Active Gains in brain Using Exercise During Aging (AGUEDA): protocol for a randomized controlled trial,True,research-article Journal Article,0,0,,,False,
PMC10300712,37368401,10.1001/jamanetworkopen.2023.20400,2023,JAMA network open,Effect of an Artificial Intelligence-Based Self-Management App on Musculoskeletal Health in Patients With Neck and/or Low Back Pain Referred to Specialist Care: A Randomized Clinical Trial,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,
PMC10715815,37995333,10.5281/zenodo.10064325,2023,Revista medica del Instituto Mexicano del Seguro Social,[Functionality/isokinetic work of quadriceps in patients with gonarthrosis managed with prolotherapy],True,research-article Randomized Controlled Trial Journal Article English A,0,0,,,False,
PMC10475034,37660093,10.1038/s41598-023-40902-2,2023,Scientific reports,Moderate intensity aerobic exercise may enhance neuroplasticity of the contralesional hemisphere after stroke: a randomised controlled study,True,research-article Randomized Controlled Trial Journal Article,0,0,,,True,Data availability The datasets generated during used and/or analysed during the current study available from the corresponding author on reasonable request.
PMC10447378,36572534,10.1136/thorax-2022-218754,2023,Thorax,Brain activity measured by functional brain imaging predicts breathlessness improvement during pulmonary rehabilitation,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,True,Data Availability Statement Data are available on reasonable request. Data are available on reasonable request. Data are available on reasonable request.
PMC10667977,37943591,10.2196/49377,2023,JMIR research protocols,Feasibility and Effectiveness of a Personalized Home-Based Motor-Cognitive Training Program in Community-Dwelling Older Adults: Protocol for a Pragmatic Pilot Randomized Controlled Trial,True,research-article Journal Article,0,0,,,False,"Data Availability Statement Pending approval by the responsible local ethics committees, all data will be publicly available on Zenodo. Otherwise, data will be available to researchers upon reasonable request. Pending approval by the responsible local ethics committees, all data will be publicly available on Zenodo. Otherwise, data will be available to researchers upon reasonable request. Pending approval by the responsible local ethics committees, all data will be publicly available on Zenodo. Otherwise, data will be available to researchers upon reasonable request."
PMC9976179,36856104,,2023,Journal of musculoskeletal & neuronal interactions,Electrophysiological responses to Kabat motor control re-education on Bell's Palsy: A randomized controlled study,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,
PMC9014577,35436968,10.1186/s13063-022-06282-0,2022,Trials,Efficacy of leg swing versus quadriceps strengthening exercise among patients with knee osteoarthritis: study protocol for a randomized controlled trial,True,Clinical Trial Protocol research-article Journal Article,0,0,,,False,"Data Availability Statement The protocol manuscript does not contain any data, so currently, no additional data are available. The datasets generated and analyzed during the trial will be available in the Figshare repository. The protocol manuscript does not contain any data, so currently, no additional data are available. The datasets generated and analyzed during the trial will be available in the Figshare repository. The protocol manuscript does not contain any data, so currently, no additional data are available. The datasets generated and analyzed during the trial will be available in the Figshare repository."
PMC9476152,36104105,10.1136/bmjresp-2022-001414,2022,BMJ open respiratory research,Pilot study of physiotherapist-led versus music therapist-led breathing control exercises for young adults living with breathing pattern disorder: a randomised controlled trial protocol,True,"Clinical Trial Protocol Research Support, Non-U.S. Gov't research-arti",0,0,,,False,
PMC9295673,35840303,10.1136/bmjopen-2022-063250,2022,BMJ open,It's safe to move! A protocol for a randomised controlled trial investigating the effect of a video designed to increase people's confidence becoming more active despite back pain,True,"Clinical Trial Protocol Research Support, Non-U.S. Gov't research-arti",0,0,,,False,
PMC9690138,36429924,10.3390/ijerph192215199,2022,International journal of environmental research and pub,Effect of Transcranial Direct Current Stimulation Augmented with Motor Imagery and Upper-Limb Functional Training for Upper-Limb Stroke Rehabilitation: A Prospective Randomized Controlled Trial,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,True,Data Availability Statement The data presented in this study are available on request from the corresponding author. The data presented in this study are available on request from the corresponding author. The data presented in this study are available on request from the corresponding author.
PMC9357372,35945943,10.7717/peerj.13471,2022,PeerJ,Randomized feasibility trial of the Scleroderma Patient-centered Intervention Network hand exercise program (SPIN-HAND),True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,"Data Availability Statement The following information was supplied regarding data availability: The de-identified individual participant data is available at McGill University Dataverse: Kwakkenbos, Linda and Carrier, Marie-Eve and Welling, Joep and Turner, Kimberly A. and Cumin, Julie and Pépin, Mia and van den Ende, Cornelia and Schouffoer, Anne A. and Hudson, Marie and van Breda, Ward and Sauve, Maureen and Mayes, Maureen D. and Malcarne, Vanessa L. and Nielson, Warren R. and Nguyen, Christelle and Boutron, Isabelle and Rannou, François and Thombs, Brett D. and Mouthon, Luc. 2022. SPIN-HAND Feasibility Trial Results. DOI 10.5683/SP3/TJKGA2 . The following information was supplied regarding data availability: The de-identified individual participant data is available at McGill University Dataverse: Kwakkenbos, Linda and Carrier, Marie-Eve and Welling, Joep and Turner, Kimberly A. and Cumin, Julie and Pépin, Mia and van den Ende, Cornelia and Schouffoer, Anne A. and Hudson, Marie and "
PMC9619097,36325522,10.3389/fspor.2022.1010054,2022,Frontiers in sports and active living,Sensor-based intervention to enhance movement control of the spine in low back pain: Protocol for a quasi-randomized controlled trial,True,methods-article Journal Article,0,0,,,False,
PMC9186458,35642697,,2022,Journal of musculoskeletal & neuronal interactions,Effects of a core stability exercise program on balance and coordination in children with cerebellar ataxic cerebral palsy,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,
PMC9577919,36253042,10.1136/bmjopen-2022-066066,2022,BMJ open,Effect of functional relaxation on the quality of life in patients with periprosthetic joint infection: Protocol for a randomised controlled trial,True,Clinical Trial Protocol research-article Journal Article,0,0,,,False,
PMC9189509,35695009,10.1177/17534666221091179,2022,Therapeutic advances in respiratory disease,Effect of physical training on cytokine expression in CD4+ T lymphocytes in subjects with stable COPD,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,
PMC9626913,35649707,10.1136/bjsports-2021-105223,2022,British journal of sports medicine,Short-term effectiveness of high-load compared with low-load strengthening exercise on self-reported function in patients with hypermobile shoulders: a randomised controlled trial,True,research-article Journal Article,0,0,,,True,Data availability statement Data are available upon reasonable request. Data are available upon reasonable request.
PMC9528903,36199287,10.7717/peerj.14142,2022,PeerJ,Progressive overload without progressing load? The effects of load or repetition progression on muscular adaptations,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,The following information was supplied regarding data availability: The raw data for outcomes are available as a Supplemental File .
PMC8862268,35189970,10.1186/s40814-022-01003-5,2022,Pilot and feasibility studies,"Comparison of time-matched aerobic, resistance or combined exercise training in women living with obesity: a protocol for a pilot randomised controlled trial-the EXOFFIT (Exercise for Obesity in Femal",True,research-article Journal Article,0,0,,,False,"Data Availability Statement Data of relevance to the reported findings are included in the main body of the paper with additional data provided as supplementary information. Datasets generated and/or analysed during this study will be made available in an online repository following the conclusion of the study. During the course of the study, all electronic data will be stored on the institution’s encrypted drive and on an institution’s encrypted computer. Along with the hard copies of the data, this computer will be stored in a locked filing cabinet in a locked office in the institution which only the research team have access to. Data of relevance to the reported findings are included in the main body of the paper with additional data provided as supplementary information. Datasets generated and/or analysed during this study will be made available in an online repository following the conclusion of the study. During the course of the study, all electronic data will be stored on the i"
PMC9779705,36554577,10.3390/ijerph192416697,2022,International journal of environmental research and pub,Feasibility of Remote Delivering an Exercise and Lifestyle Education Program for Individuals Living with Prediabetes and Diabetes in Brazil,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,Data Availability Statement Not applicable.
PMC9759167,36181471,10.1210/clinem/dgac549,2022,The Journal of clinical endocrinology and metabolism,Liraglutide for Weight Management in Children and Adolescents With Prader-Willi Syndrome and Obesity,True,"Research Support, Non-U.S. Gov't research-article Multicenter Study Ra",0,0,,,False,Data Availability Statement Data will be shared with bona fide researchers who submit a research proposal approved by an independent review board. Individual patient data will be shared in datasets in a de-identified and anonymized format. Data will be made available after research completion and approval of the product and product use in the EU and the USA. Information about data access request proposals can be found at novonordisk-trials.com. Data will be shared with bona fide researchers who submit a research proposal approved by an independent review board. Individual patient data will be shared in datasets in a de-identified and anonymized format. Data will be made available after research completion and approval of the product and product use in the EU and the USA. Information about data access request proposals can be found at novonordisk-trials.com. Data will be shared with bona fide researchers who submit a research proposal approved by an independent review board. Individual 
PMC9019539,35444259,10.1038/s41598-022-10481-9,2022,Scientific reports,"Effects of exercise on NAFLD using non-targeted metabolomics in adipose tissue, plasma, urine, and stool",True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,
PMC8601362,34797287,10.1097/md.0000000000027647,2021,Medicine,Effect of Tai Chi exercise on lower limb function and balance ability in patients with knee osteoarthritis: A protocol of a randomized controlled trial,True,Clinical Trial Protocol research-article Journal Article,0,0,,,False,
PMC8401372,34454458,10.1186/s12891-021-04561-6,2021,BMC musculoskeletal disorders,"The EPIPHA-KNEE trial: Explaining Pain to target unhelpful pain beliefs to Increase PHysical Activity in KNEE osteoarthritis - a protocol for a multicentre, randomised controlled trial with clinical- ",True,Clinical Trial Protocol research-article Journal Article,0,0,,,True,Data Availability Statement The datasets used and/or analysed during the current study will be available from the corresponding author (tasha.stanton@unisa.edu.au) on reasonable request once the study has been completed. The datasets used and/or analysed during the current study will be available from the corresponding author (tasha.stanton@unisa.edu.au) on reasonable request once the study has been completed. The datasets used and/or analysed during the current study will be available from the corresponding author (tasha.stanton@unisa.edu.au) on reasonable request once the study has been completed.
PMC8078235,33879680,10.1097/md.0000000000025476,2021,Medicine,Efficacy and safety of Biqi capsule in the treatment of knee osteoarthritis: A protocol of a randomized controlled trial,True,Clinical Trial Protocol research-article Journal Article,0,0,,,False,
PMC8542151,34678874,10.1097/md.0000000000027446,2021,Medicine,Effect of Tai Chi on cardiac function in patients with myocardial infarction: A protocol for a randomized controlled trial,True,Clinical Trial Protocol research-article Journal Article,0,0,,,False,
PMC8460029,34555068,10.1371/journal.pone.0257595,2021,PloS one,Effects of specific inspiratory muscle training combined with whole-body endurance training program on balance in COPD patients: Randomized controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,Data Availability Statement All relevant data are within the manuscript and its Supporting Information files. All relevant data are within the manuscript and its Supporting Information files. All relevant data are within the manuscript and its Supporting Information files.
PMC7808620,33444359,10.1371/journal.pone.0244893,2021,PloS one,Effect of aerobic exercise on amyloid accumulation in preclinical Alzheimer's: A 1-year randomized controlled trial,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,0,,,False,"Data Availability Statement All files are available from the Harvard Dataverse database (Vidoni, Eric, 2020, ""Alzheimer's Prevention Through Exercise (APEx) - NCT02000583 "", https://doi.org/10.7910/DVN/B9I1F8 , Harvard Dataverse, V1, UNF:6:pgNe0pp64djpi7AAdwhBiw== [fileUNF]). All files are available from the Harvard Dataverse database (Vidoni, Eric, 2020, ""Alzheimer's Prevention Through Exercise (APEx) - NCT02000583 "", https://doi.org/10.7910/DVN/B9I1F8 , Harvard Dataverse, V1, UNF:6:pgNe0pp64djpi7AAdwhBiw== [fileUNF]). All files are available from the Harvard Dataverse database (Vidoni, Eric, 2020, ""Alzheimer's Prevention Through Exercise (APEx) - NCT02000583 "", https://doi.org/10.7910/DVN/B9I1F8 , Harvard Dataverse, V1, UNF:6:pgNe0pp64djpi7AAdwhBiw== [fileUNF])."
PMC8733654,35002919,10.3389/fneur.2021.752830,2021,Frontiers in neurology,HomeCoRe for Telerehabilitation in Mild or Major Neurocognitive Disorders: A Study Protocol for a Randomized Controlled Trial,True,methods-article Journal Article,0,0,,,False,
PMC8068518,33907457,10.2147/jpr.s310385,2021,Journal of pain research,Optimal Acupuncture Methods for Nonspecific Low Back Pain: A Systematic Review and Bayesian Network Meta-Analysis of Randomized Controlled Trials,True,review-article Review Journal Article,0,0,,,False,
PMC7924734,33651849,10.1371/journal.pone.0248031,2021,PloS one,Evaluating the effects of embedded self-massage practice on strength performance: A randomized crossover pilot trial,True,research-article Randomized Controlled Trial Journal Article,0,0,,,False,Data Availability Statement All relevant data are within the paper and its Supporting Information files. All relevant data are within the paper and its Supporting Information files. All relevant data are within the paper and its Supporting Information files.
PMC7798256,33431040,10.1186/s40814-020-00763-2,2021,Pilot and feasibility studies,Evaluating a web- and telephone-based personalised exercise intervention for individuals living with metastatic prostate cancer (ExerciseGuide): protocol for a pilot randomised controlled trial,True,research-article Journal Article,0,0,,,False,Data Availability Statement Not applicable. Not applicable. Not applicable.
